,Fixed_Acidity,Volatile_Acidity,Citric Acid,Sugar,Chlorides,Fixed_Sulfur_dioxide,Total_Sulfur_dioxide,Density,pH,Sulphates,Alcohol,Color,Quality,,,,,,,,
19,4.8,,0.21,10.2,0.037,17,112,0.99324,3.66,0.48,12.2,White,7,,,,,,,,
20,4.8,0.17,0.28,2.9,0.03,22,111,0.9902,3.38,0.34,11.3,White,7,,,,,,,,
21,4.8,0.26,0.23,10.6,0.034,23,111,0.99274,3.46,0.28,11.5,White,7,,,,,,,,
22,4.8,0.65,0.12,1.1,0.013,4,10,0.99246,3.32,0.36,13.5,White,4,,,,,,,,
23,4.8,0.13,0.32,1.2,0.042,40,98,0.9898,3.42,0.64,11.8,White,7,,,,,,,,
24,4.8,0.225,0.38,1.2,0.074,47,130,0.99132,3.31,0.4,10.3,White,6,,,,,,,,
25,4.8,0.29,0.23,1.1,0.044,38,180,0.98924,3.28,0.34,11.9,White,6,,,,,,,,
26,4.9,0.42,0,2.1,0.048,16,42,0.99154,3.71,0.74,14,Red,7,,,,,,,,
27,4.9,0.33,0.31,1.2,0.016,39,150,0.98713,3.33,0.59,14,White,8,,,,,,,,
28,4.9,0.345,0.34,1,0.068,32,143,0.99138,3.24,0.4,10.1,White,5,,,,,,,,
29,4.9,0.345,0.34,1,0.068,32,143,0.99138,3.24,0.4,10.1,White,5,,,,,,,,
30,4.9,0.335,0.14,1.3,0.036,69,168,0.99212,3.47,0.46,,White,5,,,,,,,,
31,4.9,0.335,0.14,1.3,0.036,69,168,0.99212,3.47,0.46,,White,5,,,,,,,,
32,4.9,0.47,0.17,1.9,0.035,60,148,0.98964,3.27,0.35,,White,6,,,,,,,,
33,4.9,0.235,0.27,11.75,0.03,34,118,0.9954,3.07,0.5,,White,6,,,,,,,,
34,5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,,Red,4,,,,,,,,
35,5,1.04,0.24,1.6,0.05,32,96,0.9934,3.74,0.62,,Red,5,,,,,,,,
36,5,0.42,0.24,2,0.06,19,50,0.9917,3.72,0.74,,Red,8,,,,,,,,
37,5,0.4,0.5,4.3,0.046,29,80,0.9902,3.49,0.66,,Red,6,,,,,,,,
38,5,0.38,0.01,1.6,0.048,26,60,0.99084,3.7,0.75,,Red,6,,,,,,,,
39,5,0.74,0,1.2,0.041,16,46,0.99258,4.01,0.59,12.5,Red,6,,,,,,,,
40,5,0.55,0.14,8.3,0.032,35,164,0.9918,3.53,0.51,12.5,White,8,,,,,,,,
41,5,0.17,0.56,1.5,0.026,24,115,0.9906,3.48,0.39,10.8,White,7,,,,,,,,
42,5,0.44,0.04,18.6,0.039,38,128,0.9985,3.37,0.57,10.2,White,6,,,,,,,,
43,5,0.31,0,6.4,0.046,43,166,0.994,3.3,0.63,9.9,White,6,,,,,,,,
44,5,0.33,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7,White,6,,,,,,,,
45,5,0.33,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7,White,6,,,,,,,,
46,5,0.33,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7,White,6,,,,,,,,
47,5,0.27,0.32,4.5,0.032,58,178,0.98956,3.45,0.31,12.6,White,7,,,,,,,,
48,5,0.27,0.32,4.5,0.032,58,178,0.98956,3.45,0.31,12.6,White,7,,,,,,,,
49,5,0.3,0.33,3.7,0.03,54,173,0.9887,3.36,0.3,13,White,7,,,,,,,,
50,5,0.24,0.21,2.2,0.039,31,100,0.99098,3.69,0.62,11.7,White,6,,,,,,,,
51,5,0.29,0.54,5.7,0.035,54,155,0.98976,3.27,0.34,12.9,White,8,,,,,,,,
52,5,0.61,0.12,1.3,0.009,65,100,0.9874,3.26,0.37,13.5,White,5,,,,,,,,
53,5,0.455,0.18,1.9,0.036,33,106,0.98746,3.21,0.83,14,White,7,,,,,,,,
54,5,0.255,0.22,2.7,0.043,46,153,0.99238,3.75,0.76,11.3,White,6,,,,,,,,
55,5,0.35,0.25,7.8,0.031,24,116,0.99241,3.39,0.4,11.3,White,6,,,,,,,,
56,5,0.35,0.25,7.8,0.031,24,116,0.99241,3.39,0.4,11.3,White,6,,,,,,,,
57,5,0.33,0.23,11.8,0.03,23,158,0.99322,3.41,0.64,11.8,White,6,,,,,,,,
58,5,0.33,0.18,4.6,0.032,40,124,0.99114,3.18,0.4,11,White,6,,,,,,,,
59,5,0.24,0.34,1.1,0.034,49,158,0.98774,3.32,0.32,13.1,White,7,,,,,,,,
60,5,0.24,0.19,5,0.043,17,101,0.99438,3.67,0.57,10,White,5,,,,,,,,
61,5,0.27,0.4,1.2,0.076,42,124,0.99204,3.32,0.47,10.1,White,6,,,,,,,,
62,5,0.2,0.4,1.9,0.015,20,98,0.9897,3.37,0.55,12.05,White,6,,,,,,,,
63,5,0.235,0.27,11.75,0.03,34,118,0.9954,3.07,0.5,9.4,White,6,,,,,,,,
64,5.1,0.47,0.02,1.3,0.034,18,44,0.9921,3.9,0.62,12.8,Red,6,,,,,,,,
65,5.1,0.585,0,1.7,0.044,14,86,0.99264,3.56,0.94,12.9,Red,7,,,,,,,,
66,5.1,0.51,0.18,2.1,0.042,16,101,0.9924,3.46,0.87,12.9,Red,7,,,,,,,,
67,5.1,0.42,0,1.8,0.044,18,88,0.99157,3.68,0.73,13.6,Red,7,,,,,,,,
68,5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,White,7,,,,,,,,
69,5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,White,7,,,,,,,,
70,5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,White,7,,,,,,,,
71,5.1,0.42,0.01,1.5,0.017,25,102,0.9894,3.38,0.36,12.3,White,7,,,,,,,,
72,5.1,0.39,0.21,1.7,0.027,15,72,0.9894,3.5,0.45,12.5,White,6,,,,,,,,
73,5.1,0.52,0.06,2.7,0.052,30,79,0.9932,3.32,0.43,9.3,White,5,,,,,,,,
74,5.1,0.31,0.3,0.9,0.037,28,152,0.992,3.54,0.56,10.1,White,6,,,,,,,,
75,5.1,0.14,0.25,0.7,0.039,15,89,0.9919,3.22,0.43,9.2,White,6,,,,,,,,
76,5.1,0.11,0.32,1.6,0.028,12,90,0.99008,3.57,0.52,12.2,White,6,,,,,,,,
77,5.1,0.29,0.28,8.3,0.026,27,107,0.99308,3.36,0.37,11,White,6,,,,,,,,
78,5.1,0.29,0.28,8.3,0.026,27,107,0.99308,3.36,0.37,11,White,6,,,,,,,,
79,5.1,0.33,0.27,6.7,0.022,44,129,0.99221,3.36,0.39,11,White,7,,,,,,,,
80,5.1,0.21,0.28,1.4,0.047,48,148,0.99168,3.5,0.49,10.4,White,5,,,,,,,,
81,5.1,0.165,0.22,5.7,0.047,42,146,0.9934,3.18,0.55,9.9,White,6,,,,,,,,
82,5.1,0.35,0.26,6.8,0.034,36,120,0.99188,3.38,0.4,11.5,White,6,,,,,,,,
83,5.1,0.35,0.26,6.8,0.034,36,120,0.99188,3.38,0.4,11.5,White,6,,,,,,,,
84,5.1,0.35,0.26,6.8,0.034,36,120,0.99188,3.38,0.4,11.5,White,6,,,,,,,,
85,5.1,0.23,0.18,1,0.053,13,99,0.98956,3.22,0.39,11.5,White,5,,,,,,,,
86,5.1,0.305,0.13,1.75,0.036,17,73,0.99,3.4,0.51,12.33333333,White,5,,,,,,,,
87,5.1,0.25,0.36,1.3,0.035,40,78,0.9891,3.23,0.64,12.1,White,7,,,,,,,,
88,5.1,0.26,0.34,6.4,0.034,26,99,0.99449,3.23,0.41,9.2,White,6,,,,,,,,
89,5.1,0.26,0.33,,0.027,46,113,0.98946,3.35,0.43,11.4,White,7,,,,,,,,
90,5.1,0.3,0.3,,0.048,40,150,0.98944,3.29,0.46,12.2,White,6,,,,,,,,
91,5.2,0.32,0.25,,0.103,13,50,0.9957,3.38,0.55,9.2,Red,5,,,,,,,,
92,5.2,0.34,0,,0.05,27,63,0.9916,3.68,0.79,14,Red,6,,,,,,,,
93,5.2,0.34,0,,0.05,27,63,0.9916,3.68,0.79,14,Red,6,,,,,,,,
94,5.2,0.48,0.04,,0.054,19,106,0.9927,3.54,0.62,12.2,Red,7,,,,,,,,
95,5.2,0.645,0,,0.08,15,28,0.99444,3.78,0.61,12.5,Red,6,,,,,,,,
96,5.2,0.49,0.26,,0.09,23,74,0.9953,3.71,0.62,12.2,Red,6,,,,,,,,
97,5.2,0.44,0.04,,0.036,43,119,0.9894,3.36,0.33,12.1,White,8,,,,,,,,
98,5.2,0.44,0.04,1.4,0.036,43,119,0.9894,3.36,0.33,12.1,White,8,,,,,,,,
99,5.2,0.6,0.07,7,0.044,33,147,0.9944,3.33,0.58,9.7,White,5,,,,,,,,
100,5.2,0.36,0.02,1.6,0.031,24,104,0.9896,3.44,0.35,12.2,White,6,,,,,,,,
101,5.2,0.24,0.45,3.8,0.027,21,128,0.992,3.55,0.49,11.2,White,8,,,,,,,,
102,5.2,0.24,0.45,3.8,0.027,21,128,0.992,3.55,0.49,11.2,White,8,,,,,,,,
103,5.2,0.365,0.08,13.5,0.041,37,142,0.997,3.46,0.39,9.9,White,6,,,,,,,,
104,5.2,0.37,0.33,1.2,0.028,13,81,0.9902,3.37,0.38,11.7,White,6,,,,,,,,
105,5.2,0.16,0.34,0.8,0.029,26,77,0.99155,3.25,0.51,10.1,White,6,,,,,,,,
106,5.2,0.28,0.29,1.1,0.028,18,69,0.99168,3.24,0.54,10,White,6,,,,,,,,
107,5.2,0.285,0.29,5.15,0.035,64,138,0.9895,3.19,0.34,12.4,White,8,,,,,,,,
108,5.2,0.155,0.33,1.6,0.028,13,59,0.98975,3.3,0.84,11.9,White,8,,,,,,,,
109,5.2,0.155,0.33,1.6,0.028,13,59,0.98975,3.3,0.84,11.9,White,8,,,,,,,,
110,5.2,0.17,0.27,0.7,0.03,11,68,0.99218,3.3,0.41,9.8,White,5,,,,,,,,
111,5.2,0.34,0.37,6.2,0.031,42,133,0.99076,3.25,0.41,12.5,White,6,,,,,,,,
112,5.2,0.31,0.36,5.1,0.031,46,145,0.9897,3.14,0.31,12.4,White,7,,,,,,,,
113,5.2,0.335,0.2,1.7,0.033,17,74,0.99002,3.34,0.48,12.3,White,6,,,,,,,,
114,5.2,0.2,0.27,3.2,0.047,16,93,0.99235,3.44,0.53,10.1,White,7,,,,,,,,
115,5.2,0.31,0.2,2.4,0.027,27,117,0.98886,3.56,0.45,13,White,7,,,,,,,,
116,5.2,0.22,0.46,6.2,0.066,41,187,0.99362,3.19,0.42,9.733333333,White,5,,,,,,,,
117,5.2,0.38,0.26,7.7,0.053,20,103,0.9925,3.27,0.45,12.2,White,6,,,,,,,,
118,5.2,0.5,0.18,2,0.036,23,129,0.98949,3.36,0.77,13.4,White,7,,,,,,,,
119,5.2,0.24,0.15,7.1,0.043,32,134,0.99378,3.24,0.48,9.9,White,6,,,,,,,,
120,5.2,0.185,0.22,1,0.03,47,123,0.99218,3.55,0.44,10.15,White,6,,,,,,,,
121,5.2,0.3,0.34,1.5,0.038,18,96,0.98942,3.56,0.48,13,White,8,,,,,,,,
122,5.2,0.21,0.31,1.7,0.048,17,61,0.98953,3.24,0.37,12,White,7,,,,,,,,
123,5.2,0.405,0.15,1.45,0.038,10,44,0.99125,3.52,0.4,11.6,White,4,,,,,,,,
124,5.2,0.25,0.23,1.4,0.047,20,77,0.99001,3.32,0.62,11.4,White,5,,,,,,,,
125,5.3,0.57,0.01,1.7,0.054,5,27,0.9934,3.57,0.84,12.5,Red,7,,,,,,,,
126,5.3,0.715,0.19,1.5,0.161,7,62,0.99395,3.62,0.61,11,Red,5,,,,,,,,
127,5.3,0.47,0.11,2.2,0.048,16,89,0.99182,3.54,0.88,13.56666667,Red,7,,,,,,,,
128,5.3,0.47,0.11,2.2,0.048,16,89,0.99182,3.54,0.88,13.6,Red,7,,,,,,,,
129,5.3,0.58,0.07,6.9,0.043,34,149,0.9944,3.34,0.57,9.7,White,5,,,,,,,,
130,5.3,0.585,0.07,7.1,0.044,34,145,0.9945,3.34,0.57,9.7,White,6,,,,,,,,
131,5.3,0.32,0.12,6.6,0.043,22,141,0.9937,3.36,0.6,10.4,White,6,,,,,,,,
132,5.3,0.3,0.2,1.1,0.077,48,166,0.9944,3.3,0.54,8.7,White,4,,,,,,,,
133,5.3,0.24,0.33,1.3,0.033,25,97,0.9906,3.59,0.38,11,White,8,,,,,,,,
134,5.3,0.395,0.07,1.3,0.035,26,102,0.992,3.5,0.35,10.6,White,6,,,,,,,,
135,5.3,0.26,0.23,5.15,0.034,48,160,0.9952,3.82,0.51,10.5,White,7,,,,,,,,
136,5.3,0.165,0.24,1.1,0.051,25,105,0.9925,3.32,0.47,9.1,White,5,,,,,,,,
137,5.3,0.76,0.03,2.7,0.043,27,93,0.9932,3.34,0.38,9.2,White,5,,,,,,,,
138,5.3,0.2,0.31,3.6,0.036,22,91,0.99278,3.41,0.5,9.8,White,6,,,,,,,,
139,5.3,0.16,0.39,1,0.028,40,101,0.99156,3.57,0.59,10.6,White,6,,,,,,,,
140,5.3,0.16,0.39,1,0.028,40,101,0.99156,3.57,0.59,10.6,White,6,,,,,,,,
141,5.3,0.21,0.29,0.7,0.028,11,66,0.99215,3.3,0.4,9.8,White,5,,,,,,,,
142,5.3,0.3,0.16,4.2,0.029,37,100,0.9905,3.3,0.36,11.8,White,8,,,,,,,,
143,5.3,0.32,0.23,9.65,0.026,26,119,0.99168,3.18,0.53,12.2,White,6,,,,,,,,
144,5.3,0.36,0.27,6.3,0.028,40,132,0.99186,3.37,0.4,11.6,White,6,,,,,,,,
145,5.3,0.36,0.27,6.3,0.028,40,132,0.99186,3.37,0.4,11.6,White,6,,,,,,,,
146,5.3,0.3,0.3,1.2,0.029,25,93,0.98742,3.31,0.4,13.6,White,7,,,,,,,,
147,5.3,0.23,0.56,0.9,0.041,46,141,0.99119,3.16,0.62,9.7,White,5,,,,,,,,
148,5.3,0.33,0.3,1.2,0.048,25,119,0.99045,3.32,0.62,11.3,White,6,,,,,,,,
149,5.3,0.43,0.11,1.1,0.029,6,51,0.99076,3.51,0.48,11.2,White,4,,,,,,,,
150,5.3,0.47,0.1,1.3,0.036,11,74,0.99082,3.48,0.54,11.2,White,4,,,,,,,,
151,5.3,0.31,0.38,10.5,0.031,53,140,0.99321,3.34,0.46,11.7,White,6,,,,,,,,
152,5.3,0.31,0.38,10.5,0.031,53,140,0.99321,3.34,0.46,11.7,White,6,,,,,,,,
153,5.3,0.4,0.25,3.9,0.031,45,130,0.99072,3.31,0.58,11.75,White,7,,,,,,,,
154,5.3,0.275,0.24,7.4,0.038,28,114,0.99313,3.38,0.51,11,White,6,,,,,,,,
155,5.3,0.6,0.34,1.4,0.031,3,60,0.98854,3.27,0.38,13,White,6,,,,,,,,
156,5.4,0.835,0.08,1.2,0.046,13,93,0.9924,3.57,0.85,13,Red,7,,,,,,,,
157,5.4,0.42,0.27,2,0.092,23,55,0.99471,3.78,0.64,12.3,Red,7,,,,,,,,
158,5.4,0.74,0,1.2,0.041,16,46,0.99258,4.01,0.59,12.5,Red,6,,,,,,,,
159,5.4,0.58,0.08,1.9,0.059,20,31,0.99484,3.5,0.64,10.2,Red,6,,,,,,,,
160,5.4,0.74,0.09,1.7,0.089,16,26,0.99402,3.67,0.56,11.6,Red,6,,,,,,,,
161,5.4,0.59,0.07,7,0.045,36,147,0.9944,3.34,0.57,9.7,White,6,,,,,,,,
162,5.4,0.31,0.47,3,0.053,46,144,0.9931,3.29,0.76,10,White,5,,,,,,,,
163,5.4,0.29,0.47,3,0.052,47,145,0.993,3.29,0.75,10,White,6,,,,,,,,
164,5.4,0.18,0.24,4.8,0.041,30,113,0.99445,3.42,0.4,9.4,White,6,,,,,,,,
165,5.4,0.595,0.1,2.8,0.042,26,80,0.9932,3.36,0.38,9.3,White,5,,,,,,,,
166,5.4,0.415,0.19,1.6,0.039,27,88,0.99265,3.54,0.41,10,White,7,,,,,,,,
167,5.4,0.5,0.13,5,0.028,12,107,0.99079,3.48,0.88,13.5,White,7,,,,,,,,
168,5.4,0.23,0.36,1.5,0.03,74,121,0.98976,3.24,0.99,12.1,White,7,,,,,,,,
169,5.4,0.22,0.29,1.2,0.045,69,152,0.99178,3.76,0.63,11,White,7,,,,,,,,
170,5.4,0.45,0.27,6.4,0.033,20,102,0.98944,3.22,0.27,13.4,White,8,,,,,,,,
171,5.4,0.53,0.16,2.7,0.036,34,128,0.98856,3.2,0.53,13.2,White,8,,,,,,,,
172,5.4,0.53,0.16,2.7,0.036,34,128,0.98856,3.2,0.53,13.2,White,8,,,,,,,,
173,5.4,0.3,0.3,1.2,0.029,25,93,0.98742,3.31,0.4,13.6,White,7,,,,,,,,
174,5.4,0.255,0.33,1.2,0.051,29,122,0.99048,3.37,0.66,11.3,White,6,,,,,,,,
175,5.4,0.46,0.15,2.1,0.026,29,130,0.98953,3.39,0.77,13.4,White,8,,,,,,,,
176,5.4,0.46,0.15,2.1,0.026,29,130,0.98953,3.39,0.77,13.4,White,8,,,,,,,,
177,5.4,0.17,0.27,2.7,0.049,28,104,0.99224,3.46,0.55,10.3,White,6,,,,,,,,
178,5.4,0.24,0.18,2.3,0.05,22,145,0.99207,3.24,0.46,10.3,White,5,,,,,,,,
179,5.4,0.185,0.19,7.1,0.048,36,110,0.99438,3.26,0.41,9.5,White,6,,,,,,,,
180,5.4,0.15,0.32,2.5,0.037,10,51,0.98878,3.04,0.58,12.6,White,6,,,,,,,,
181,5.4,0.265,0.28,7.8,0.052,27,91,0.99432,3.19,0.38,10.4,White,6,,,,,,,,
182,5.4,0.22,0.35,6.5,0.029,26,87,0.99092,3.29,0.44,12.5,White,7,,,,,,,,
183,5.4,0.27,0.22,4.6,0.022,29,107,0.98889,3.33,0.54,13.8,White,6,,,,,,,,
184,5.4,0.29,0.38,1.2,0.029,31,132,0.98895,3.28,0.36,12.4,White,6,,,,,,,,
185,5.4,0.29,0.38,1.2,0.029,31,132,0.98895,3.28,0.36,12.4,White,6,,,,,,,,
186,5.4,0.33,0.31,4,0.03,27,108,0.99031,3.3,0.43,12.2,White,7,,,,,,,,
187,5.4,0.205,0.16,12.55,0.051,31,115,0.99564,3.4,0.38,10.8,White,6,,,,,,,,
188,5.4,0.375,0.4,3.3,0.054,29,147,0.99482,3.42,0.52,9.1,White,5,,,,,,,,
189,5.5,0.49,0.03,1.8,0.044,28,87,0.9908,3.5,0.82,14,Red,8,,,,,,,,
190,5.5,0.485,0,1.5,0.065,8,103,0.994,3.63,0.4,9.7,White,4,,,,,,,,
191,5.5,0.335,0.3,2.5,0.071,27,128,0.9924,3.14,0.51,9.6,White,6,,,,,,,,
192,5.5,0.16,0.22,4.5,0.03,30,102,0.9938,3.24,0.36,9.4,White,6,,,,,,,,
193,5.5,0.35,0.35,1.1,0.045,14,167,0.992,3.34,0.68,9.9,White,6,,,,,,,,
194,5.5,0.42,0.09,1.6,0.019,18,68,0.9906,3.33,0.51,11.4,White,7,,,,,,,,
195,5.5,0.32,0.45,4.9,0.028,25,191,0.9922,3.51,0.49,11.5,White,7,,,,,,,,
196,5.5,0.14,0.27,4.6,0.029,22,104,0.9949,3.34,0.44,9,White,5,,,,,,,,
197,5.5,0.14,0.27,4.6,0.029,22,104,0.9949,3.34,0.44,9,White,5,,,,,,,,
198,5.5,0.24,0.32,8.7,0.06,19,102,0.994,3.27,0.31,10.4,White,5,,,,,,,,
199,5.5,0.15,0.32,14,0.031,16,99,0.99437,3.26,0.38,11.5,White,8,,,,,,,,
200,5.5,0.375,0.38,1.7,0.036,17,98,0.99142,3.29,0.39,10.5,White,6,,,,,,,,
201,5.5,0.34,0.26,2.2,0.021,31,119,0.98919,3.55,0.49,13,White,8,,,,,,,,
202,5.5,0.18,0.22,5.5,0.037,10,86,0.99156,3.46,0.44,12.2,White,5,,,,,,,,
203,5.5,0.19,0.27,0.9,0.04,52,103,0.99026,3.5,0.39,11.2,White,5,,,,,,,,
204,5.5,0.12,0.33,1,0.038,23,131,0.99164,3.25,0.45,9.8,White,5,,,,,,,,
205,5.5,0.12,0.33,1,0.038,23,131,0.99164,3.25,0.45,9.8,White,5,,,,,,,,
206,5.5,0.17,0.23,2.9,0.039,10,108,0.99243,3.28,0.5,10,White,5,,,,,,,,
207,5.5,0.17,0.23,2.9,0.039,10,108,0.99243,3.28,0.5,10,White,5,,,,,,,,
208,5.5,0.24,0.45,1.7,0.046,22,113,0.99224,3.22,0.48,10,White,5,,,,,,,,
209,5.5,0.28,0.21,1.6,0.032,23,85,0.99027,3.42,0.42,12.5,White,5,,,,,,,,
210,5.5,0.21,0.25,1.2,0.04,18,75,0.99006,3.31,0.56,11.3,White,6,,,,,,,,
211,5.5,0.23,0.19,2.2,0.044,39,161,0.99209,3.19,0.43,10.4,White,6,,,,,,,,
212,5.5,0.315,0.38,2.6,0.033,10,69,0.9909,3.12,0.59,10.8,White,6,,,,,,,,
213,5.5,0.16,0.31,1.2,0.026,31,68,0.9898,3.33,0.44,11.63333333,White,6,,,,,,,,
214,5.5,0.3,0.25,1.9,0.029,33,118,0.98972,3.36,0.66,12.5,White,6,,,,,,,,
215,5.5,0.16,0.31,1.2,0.026,31,68,0.9898,3.33,0.44,11.65,White,6,,,,,,,,
216,5.5,0.16,0.26,1.5,0.032,35,100,0.99076,3.43,0.77,12,White,6,,,,,,,,
217,5.5,0.62,0.33,1.7,0.037,24,118,0.98758,3.15,0.39,13.55,White,6,,,,,,,,
218,5.5,0.31,0.29,3,0.027,16,102,0.99067,3.23,0.56,11.2,White,6,,,,,,,,
219,5.5,0.32,0.13,1.3,0.037,45,156,0.99184,3.26,0.38,10.7,White,5,,,,,,,,
220,5.5,0.29,0.3,1.1,0.022,20,110,0.98869,3.34,0.38,12.8,White,7,,,,,,,,
221,5.6,0.615,0,1.6,0.089,16,59,0.9943,3.58,0.52,9.9,Red,5,,,,,,,,
222,5.6,0.31,0.37,1.4,0.074,12,96,0.9954,3.32,0.58,9.2,Red,5,,,,,,,,
223,5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,Red,5,,,,,,,,
224,5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,Red,5,,,,,,,,
225,5.6,0.85,0.05,1.4,0.045,12,88,0.9924,3.56,0.82,12.9,Red,8,,,,,,,,
226,5.6,0.66,0,2.2,0.087,3,11,0.99378,3.71,0.63,12.8,Red,7,,,,,,,,
227,5.6,0.66,0,2.2,0.087,3,11,0.99378,3.71,0.63,12.8,Red,7,,,,,,,,
228,5.6,0.605,0.05,2.4,0.073,19,25,0.99258,3.56,0.55,12.9,Red,5,,,,,,,,
229,5.6,0.66,0,2.5,0.066,7,15,0.99256,3.52,0.58,12.9,Red,5,,,,,,,,
230,5.6,0.915,0,2.1,0.041,17,78,0.99346,3.68,0.73,11.4,Red,5,,,,,,,,
231,5.6,0.62,0.03,1.5,0.08,6,13,0.99498,3.66,0.62,10.1,Red,4,,,,,,,,
232,5.6,0.54,0.04,1.7,0.049,5,13,0.9942,3.72,0.58,11.4,Red,5,,,,,,,,
233,5.6,0.54,0.04,1.7,0.049,5,13,0.9942,3.72,0.58,11.4,Red,5,,,,,,,,
234,5.6,0.31,0.78,13.9,0.074,23,92,0.99677,3.39,0.48,10.5,Red,6,,,,,,,,
235,5.6,0.16,0.27,1.4,0.044,53,168,0.9918,3.28,0.37,10.1,White,6,,,,,,,,
236,5.6,0.245,0.25,9.7,0.032,12,68,0.994,3.31,0.34,10.5,White,5,,,,,,,,
237,5.6,0.19,0.26,1.4,0.03,12,76,0.9905,3.25,0.37,10.9,White,7,,,,,,,,
238,5.6,0.26,0.26,5.7,0.031,12,80,0.9923,3.25,0.38,10.8,White,5,,,,,,,,
239,5.6,0.34,0.1,1.3,0.031,20,68,0.9906,3.36,0.51,11.2,White,7,,,,,,,,
240,5.6,0.35,0.37,1,0.038,6,72,0.9902,3.37,0.34,11.4,White,5,,,,,,,,
241,5.6,0.19,0.47,4.5,0.03,19,112,0.9922,3.56,0.45,11.2,White,6,,,,,,,,
242,5.6,0.35,0.14,5,0.046,48,198,0.9937,3.3,0.71,10.3,White,5,,,,,,,,
243,5.6,0.235,0.29,1.2,0.047,33,127,0.991,3.34,0.5,11,White,7,,,,,,,,
244,5.6,0.25,0.26,3.6,0.037,18,115,0.9904,3.42,0.5,12.6,White,6,,,,,,,,
245,5.6,0.19,0.39,1.1,0.043,17,67,0.9918,3.23,0.53,10.3,White,6,,,,,,,,
246,5.6,0.29,0.05,0.8,0.038,11,30,0.9924,3.36,0.35,9.2,White,5,,,,,,,,
247,5.6,0.245,0.32,1.1,0.047,24,152,0.9927,3.12,0.42,9.3,White,6,,,,,,,,
248,5.6,0.49,0.13,4.5,0.039,17,116,0.9907,3.42,0.9,13.7,White,7,,,,,,,,
249,5.6,0.49,0.13,4.5,0.039,17,116,0.9907,3.42,0.9,13.7,White,7,,,,,,,,
250,5.6,0.185,0.49,1.1,0.03,28,117,0.9918,3.55,0.45,10.3,White,6,,,,,,,,
251,5.6,0.39,0.24,4.7,0.034,27,77,0.9906,3.28,0.36,12.7,White,5,,,,,,,,
252,5.6,0.41,0.24,1.9,0.034,10,53,0.98815,3.32,0.5,13.5,White,7,,,,,,,,
253,5.6,0.46,0.24,4.8,0.042,24,72,0.9908,3.29,0.37,12.6,White,6,,,,,,,,
254,5.6,0.18,0.31,1.5,0.038,16,84,0.9924,3.34,0.58,10.1,White,6,,,,,,,,
255,5.6,0.13,0.27,4.8,0.028,22,104,0.9948,3.34,0.45,9.2,White,6,,,,,,,,
